,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
798,2014,20 June 2014,16:00 BRT (UTC−3),Switzerland,France,2,5,"
Džemaili  81'
Xhaka  87'","
Giroud  17'
Matuidi  18'
Valbuena  40'
Benzema  67'
Sissoko  73'",0,0,0,0,Itaipava Arena Fonte Nova, Salvador,"51,003",Björn Kuipers (Netherlands)
799,2014,20 June 2014,19:00 BRT (UTC−3),Honduras,Ecuador,1,2,"
Costly  31'","
E. Valencia  34', 65'",0,0,0,0,Arena da Baixada, Curitiba,"39,224",Ben Williams (Australia)
800,2014,25 June 2014,16:00 AMT (UTC−4),Honduras,Switzerland,0,3,,"
Shaqiri  6', 31', 71'",0,0,0,0,Arena da Amazônia, Manaus,"40,322",Néstor Pitana (Argentina)
801,2014,25 June 2014,17:00 BRT (UTC−3),Ecuador,France,0,0,,,0,0,0,0,Estádio do Maracanã, Rio de Janeiro,"73,749",Noumandiez Doué (Ivory Coast)
802,2014,15 June 2014,19:00 BRT (UTC−3),Argentina,Bosnia and Herzegovina,2,1,"
Kolašinac  3' (o.g.)
Messi  65'","
Ibišević  85'",0,0,0,0,Estádio do Maracanã, Rio de Janeiro,"74,738",Joel Aguilar (El Salvador)[77]
803,2014,16 June 2014,16:00 BRT (UTC−3),Iran,Nigeria,0,0,,,0,0,0,0,Arena da Baixada, Curitiba,"39,081",Carlos Vera (Ecuador)
804,2014,21 June 2014,13:00 BRT (UTC−3),Argentina,Iran,1,0,"
Messi  90+1'",,0,0,0,0,Estádio Mineirão, Belo Horizonte,"57,698",Milorad Mažić (Serbia)
805,2014,21 June 2014,18:00 AMT (UTC−4),Nigeria,Bosnia and Herzegovina,1,0,"
Odemwingie  29'",,0,0,0,0,Arena Pantanal, Cuiabá,"40,499",Peter O'Leary (New Zealand)
806,2014,25 June 2014,13:00 BRT (UTC−3),Nigeria,Argentina,2,3,"
Musa  4', 47'","
Messi  3', 45+1'
Rojo  50'",0,0,0,0,Estádio Beira-Rio, Porto Alegre,"43,285",Nicola Rizzoli (Italy)
807,2014,25 June 2014,13:00 BRT (UTC−3),Bosnia and Herzegovina,Iran,3,1,"
Džeko  23'
Pjanić  59'
Vršajević  83'",Ghoochannejhad  82',0,0,0,0,Itaipava Arena Fonte Nova, Salvador,"48,011",Carlos Velasco Carballo (Spain)
808,2014,16 June 2014,13:00 BRT (UTC−3),Germany,Portugal,4,0,"
Müller  12' (pen.), 45+1', 78'
Hummels  32'",,0,0,0,0,Itaipava Arena Fonte Nova, Salvador,"51,081",Milorad Mažić (Serbia)
809,2014,16 June 2014,19:00 BRT (UTC−3),Ghana,United States,1,2,"
A. Ayew  82'","
Dempsey  1'
Brooks  86'",0,0,0,0,Arena das Dunas, Natal,"39,760",Jonas Eriksson (Sweden)
